episode,total_reward,steps,success
629,-9.0,11,0
630,-13.800000000000004,79,0
631,-17.999999999999993,65,0
632,-11.5,27,0
633,-29.399999999999977,154,0
634,-10.3,24,0
635,-11.600000000000001,37,0
636,-25.399999999999977,143,0
637,-11.200000000000001,55,0
638,-29.400000000000006,172,0
639,-35.80000000000001,164,0
640,-16.599999999999994,80,0
641,-8.7,8,0
642,-9.0,11,0
643,-9.700000000000001,9,0
644,-8.3,4,0
645,-34.50000000000001,214,0
646,-20.999999999999986,108,0
647,-10.200000000000001,23,0
648,-15.599999999999996,50,0
649,-11.0,62,0
650,-11.600000000000001,48,0
651,-13.300000000000002,45,0
652,-9.0,11,0
653,-16.999999999999993,84,0
654,-13.300000000000002,56,0
655,-9.700000000000001,29,0
656,-10.100000000000001,33,0
657,-9.200000000000001,13,0
658,-32.6,152,0
659,-10.6,18,0
660,-18.49999999999999,99,0
661,-14.8,80,0
662,-28.800000000000004,139,0
663,-21.29999999999999,111,0
664,-31.200000000000028,190,0
665,-20.599999999999994,113,0
666,-37.20000000000005,162,0
667,-31.300000000000036,173,0
668,-21.499999999999993,93,0
669,-13.999999999999998,74,0
670,-16.099999999999998,55,0
671,-10.000000000000002,52,0
672,-14.999999999999998,73,0
673,-25.799999999999976,145,0
674,-10.8,29,0
675,-11.0,22,0
676,-12.0,32,0
677,-29.20000000000001,136,0
678,-16.699999999999996,81,0
679,-19.499999999999993,100,0
680,-21.799999999999997,107,0
681,-9.3,14,0
682,-17.599999999999994,90,0
683,-10.0,12,0
684,-22.799999999999994,126,0
685,-14.3,66,0
686,-42.900000000000084,262,0
687,-16.8,82,0
688,-16.799999999999997,111,0
689,-8.3,4,0
690,-28.900000000000002,176,0
691,-12.400000000000002,67,0
692,-22.099999999999987,106,0
693,-8.7,8,0
694,-9.8,19,0
695,-29.200000000000017,143,0
696,-10.1,22,0
697,-24.69999999999998,145,0
698,-12.100000000000001,42,0
699,-48.30000000000013,271,0
700,-39.500000000000036,194,0
701,-11.8,41,0
702,-10.0,21,0
703,-21.19999999999998,146,0
704,-22.599999999999973,158,0
705,-23.59999999999998,141,0
706,-17.3,89,0
707,-8.8,40,0
708,-33.8,162,0
709,-8.3,4,0
710,-10.3,24,0
711,-16.2,76,0
712,-9.0,31,0
713,-9.8,59,0
714,-20.59999999999999,102,0
715,-23.799999999999983,143,0
716,-10.0,21,0
717,-12.400000000000002,76,0
718,-17.599999999999998,90,0
719,-25.09999999999997,147,0
720,-34.60000000000005,244,0
721,-8.5,6,0
722,-16.799999999999994,120,0
723,-10.8,20,0
724,-20.599999999999987,93,0
725,-8.700000000000001,28,0
726,-8.5,6,0
727,-21.899999999999984,144,0
728,-19.499999999999986,98,0
729,-8.5,26,0
730,-11.600000000000001,68,0
731,-26.79999999999998,182,0
732,-35.10000000000006,204,0
733,-26.79999999999999,146,0
734,-9.700000000000001,38,0
735,-10.700000000000001,28,0
736,-17.199999999999992,117,0
737,-10.0,21,0
738,-22.799999999999983,133,0
739,-9.3,25,0
740,-39.70000000000012,248,0
741,-18.599999999999994,111,0
742,-52.10000000000007,230,0
743,-34.80000000000008,244,0
744,-8.600000000000001,47,0
745,-31.600000000000023,203,0
746,-8.200000000000001,43,0
747,-16.999999999999996,93,0
748,-26.69999999999998,163,0
749,-16.099999999999994,93,0
750,-8.200000000000001,43,0
751,-29.699999999999996,186,0
752,-11.200000000000001,35,0
753,-37.000000000000014,210,0
754,-24.79999999999998,153,0
755,-10.8,51,0
756,-44.30000000000011,262,0
757,-42.500000000000114,276,0
758,-8.400000000000002,45,0
759,-17.199999999999992,86,0
760,-25.49999999999997,180,0
761,-8.9,10,0
762,-19.69999999999999,129,0
763,-33.200000000000074,201,0
764,-18.299999999999997,81,0
765,-8.5,6,0
766,-10.4,16,0
767,-21.59999999999998,150,0
768,-23.099999999999987,127,0
769,-10.1,22,0
770,-23.499999999999986,142,0
771,-19.499999999999986,118,0
772,-20.199999999999985,136,0
773,-35.000000000000014,212,0
774,-22.59999999999998,142,0
775,-31.300000000000047,220,0
776,-10.4,27,0
777,-8.700000000000001,8,0
778,-9.8,19,0
779,-18.999999999999993,142,0
780,-51.70000000000026,400,0
781,-18.5,110,0
782,-13.100000000000001,63,0
783,-8.3,4,0
784,-10.1,22,0
785,-10.200000000000001,23,0
786,-9.5,27,0
787,-18.79999999999999,102,0
788,-35.800000000000125,249,0
789,-26.399999999999984,162,0
790,-9.4,46,0
791,-24.899999999999977,156,0
792,-9.3,34,0
793,-32.000000000000014,180,0
794,-17.69999999999999,122,0
795,-17.299999999999994,116,0
796,-50.300000000000196,327,0
797,-26.699999999999985,174,0
798,-18.99999999999999,133,0
799,-27.099999999999973,149,0
800,-8.5,6,0
801,-28.299999999999983,163,0
802,-32.8,170,0
803,-10.8,69,0
804,-16.199999999999996,105,0
805,-26.899999999999977,185,0
806,-25.39999999999997,177,0
807,-8.5,6,0
808,-18.49999999999999,110,0
809,-17.99999999999999,125,0
810,-9.200000000000001,33,0
811,-14.6,71,0
812,-10.200000000000001,63,0
813,-9.5,7,0
814,-9.100000000000001,32,0
815,-12.400000000000002,65,0
816,-26.199999999999967,196,0
817,-7.800000000000001,39,0
818,-9.600000000000001,37,0
819,-10.000000000000002,52,0
820,-23.499999999999964,171,0
821,-54.40000000000028,345,0
822,-12.600000000000001,78,0
823,-13.300000000000004,94,0
824,-37.400000000000134,238,0
825,-69.30000000000024,395,0
826,-22.399999999999984,140,0
827,-9.0,11,0
828,-15.999999999999996,94,0
829,-31.8,180,0
830,-23.39999999999998,143,0
831,-11.700000000000003,78,0
832,-25.99999999999997,176,0
833,-17.199999999999992,99,0
834,-8.8,29,0
835,-35.40000000000006,180,0
836,-8.600000000000001,38,0
837,-9.8,30,0
838,-9.3,25,0
839,-8.5,6,0
840,-26.499999999999975,199,0
841,-20.69999999999998,132,0
842,-12.500000000000002,68,0
843,-27.999999999999975,187,0
844,-13.699999999999998,100,0
845,-11.4,37,0
846,-34.10000000000001,194,0
847,-9.8,41,0
848,-22.69999999999999,145,0
849,-52.20000000000024,400,0
850,-25.399999999999974,181,0
851,-9.3,25,0
852,-30.200000000000017,191,0
853,-13.799999999999999,101,0
854,-18.29999999999999,117,0
855,-63.6000000000001,365,0
856,-13.400000000000002,68,0
857,-37.00000000000006,243,0
858,-9.200000000000001,44,0
859,-26.499999999999975,190,0
860,-9.200000000000001,44,0
861,-9.9,20,0
862,-29.5,175,0
863,-21.299999999999983,156,0
864,-11.400000000000002,95,0
865,-10.0,21,0
866,-11.0,22,0
867,-25.899999999999977,166,0
868,-30.800000000000015,145,0
869,-9.8,39,0
870,-17.89999999999999,133,0
871,-8.600000000000001,27,0
872,-45.90000000000014,296,0
873,-8.700000000000001,8,0
874,-8.8,40,0
875,-8.8,29,0
876,-11.000000000000002,71,0
877,-32.6,181,0
878,-22.09999999999998,146,0
879,-9.8,19,0
880,-34.3000000000001,288,0
881,-18.5,139,0
882,-15.7,100,0
883,-18.0,116,0
884,-8.3,4,0
885,-8.5,26,0
886,-15.799999999999999,130,0
887,-37.300000000000054,262,0
888,-40.900000000000134,300,0
889,-20.49999999999997,161,0
890,-7.600000000000001,37,0
891,-32.39999999999999,197,0
892,-10.9,21,0
893,-19.19999999999999,126,0
894,-8.800000000000002,49,0
895,-10.8,40,0
896,-45.00000000000027,400,0
897,-8.600000000000001,47,0
898,-11.200000000000003,75,0
899,-17.799999999999997,103,0
900,-17.599999999999998,110,0
901,-9.200000000000001,53,0
902,-17.499999999999986,138,0
903,-23.099999999999973,165,0
904,-32.300000000000075,279,0
905,-13.300000000000002,96,0
906,-24.599999999999977,153,0
907,-33.30000000000006,238,0
908,-12.700000000000006,99,0
909,-11.800000000000004,81,0
910,-9.0,42,0
911,-32.70000000000002,173,0
912,-13.600000000000003,79,0
913,-17.699999999999992,158,0
914,-20.999999999999986,135,0
915,-33.60000000000003,254,0
916,-15.799999999999999,103,0
917,-37.50000000000004,250,0
918,-12.000000000000002,63,0
919,-8.3,4,0
920,-28.599999999999977,177,0
921,-63.5000000000003,355,0
922,-14.400000000000004,98,0
923,-42.800000000000054,227,0
924,-37.400000000000105,328,0
925,-10.4,25,0
926,-11.200000000000005,113,0
927,-19.099999999999994,116,0
928,-23.399999999999984,179,0
929,-33.20000000000003,230,0
930,-21.199999999999967,204,0
931,-12.100000000000001,24,0
932,-20.899999999999977,163,0
933,-9.4,35,0
934,-10.0,21,0
935,-46.10000000000014,273,0
936,-21.39999999999998,157,0
937,-18.599999999999998,122,0
938,-20.99999999999997,193,0
939,-14.300000000000004,95,0
940,-13.600000000000003,97,0
941,-9.600000000000001,39,0
942,-9.400000000000002,75,0
943,-9.400000000000002,95,0
944,-48.60000000000023,400,0
945,-10.200000000000003,63,0
946,-28.29999999999998,210,0
947,-17.599999999999994,150,0
948,-27.599999999999977,201,0
949,-9.0,11,0
950,-19.39999999999999,157,0
951,-32.300000000000054,252,0
952,-10.9,21,0
953,-28.19999999999999,171,0
954,-9.900000000000002,80,0
955,-25.599999999999962,170,0
956,-8.200000000000003,43,0
957,-17.79999999999999,114,0
958,-14.8,109,0
959,-16.89999999999999,132,0
960,-50.600000000000286,390,0
961,-34.90000000000005,269,0
962,-9.400000000000002,46,0
963,-18.6,95,0
964,-43.10000000000017,320,0
965,-17.299999999999997,127,0
966,-17.399999999999988,119,0
967,-9.600000000000001,59,0
968,-17.69999999999999,140,0
969,-10.9,90,0
970,-12.100000000000003,73,0
971,-28.3,219,0
972,-9.0,11,0
973,-33.40000000000004,254,0
974,-29.399999999999984,210,0
975,-15.100000000000003,152,0
976,-15.0,102,0
977,-25.299999999999976,180,0
978,-9.300000000000002,74,0
979,-15.899999999999995,122,0
980,-43.40000000000015,361,0
981,-25.399999999999974,190,0
982,-23.29999999999999,140,0
983,-9.0,11,0
984,-33.30000000000004,197,0
985,-10.200000000000001,54,0
986,-26.999999999999986,195,0
987,-9.500000000000004,96,0
988,-20.89999999999997,172,0
989,-54.200000000000166,368,0
990,-9.3,25,0
991,-29.800000000000004,173,0
992,-15.399999999999999,128,0
993,-22.99999999999996,204,0
994,-10.1,22,0
995,-31.500000000000014,159,0
996,-12.900000000000002,83,0
997,-50.4000000000003,400,0
998,-14.600000000000005,111,0
999,-42.90000000000017,309,0
1000,-45.60000000000002,257,0
1001,-24.79999999999999,159,0
1002,-50.60000000000028,336,0
1003,-14.400000000000006,127,0
1004,-22.599999999999987,162,0
1005,-30.59999999999998,204,0
1006,-11.500000000000002,98,0
1007,-21.79999999999998,172,0
1008,-14.000000000000004,103,0
1009,-15.0,84,0
1010,-14.800000000000004,140,0
1011,-42.70000000000008,264,0
1012,-16.099999999999998,133,0
1013,-10.900000000000002,92,0
1014,-9.0,11,0
1015,-16.599999999999998,100,0
1016,-12.800000000000004,120,0
1017,-9.3,25,0
1018,-16.499999999999996,157,0
1019,-52.40000000000027,400,0
1020,-20.09999999999998,175,0
1021,-17.0,126,0
1022,-16.69999999999999,132,0
1023,-10.1,22,0
1024,-39.000000000000036,261,0
1025,-29.700000000000003,251,0
1026,-8.5,6,0
1027,-8.3,4,0
